06/19/2024 09:48:00 PM, 06/19/2024 09:48:00 PM, ini, juego1, Lanzar-Dado, Team A, Pepito, NULL
06/19/2024 09:48:02 PM, 06/19/2024 09:48:02 PM, ini, juego1, Lanzar-Dado, Team B, Claudio, NULL
06/19/2024 09:48:04 PM, 06/19/2024 09:48:04 PM, ini, juego1, Lanzar-Dado, Team A, Pepito, NULL
06/19/2024 09:48:06 PM, 06/19/2024 09:48:06 PM, ini, juego1, Lanzar-Dado, Team B, Francisco, NULL
06/19/2024 09:48:08 PM, 06/19/2024 09:48:08 PM, ini, juego1, Lanzar-Dado, Team A, Pepito, NULL
06/19/2024 09:48:10 PM, 06/19/2024 09:48:10 PM, ini, juego1, Lanzar-Dado, Team B, Claudio, NULL
06/19/2024 09:49:58 PM, 06/19/2024 09:49:58 PM, ini, juego1, Inicio-Juego, Team B, Francisco, NULL
06/19/2024 09:49:58 PM, 06/19/2024 09:49:58 PM, ini, juego1, Crea-Jugador, Team B, Francisco, NULL
06/19/2024 09:50:02 PM, 06/19/2024 09:50:02 PM, ini, juego1, Inicio-Juego, Team B, Claudio, NULL
06/19/2024 09:50:02 PM, 06/19/2024 09:50:02 PM, ini, juego1, Crea-Jugador, Team B, Claudio, NULL
06/19/2024 09:50:03 PM, 06/19/2024 09:50:03 PM, fin, juego1, Crea-Jugador, Team B, Francisco, NULL
06/19/2024 09:50:04 PM, 06/19/2024 09:50:04 PM, ini, juego1, Inicio-Juego, Team A, Pepito, NULL
06/19/2024 09:50:05 PM, 06/19/2024 09:50:05 PM, ini, juego1, Crea-Jugador, Team A, Pepito, NULL
06/19/2024 09:50:06 PM, 06/19/2024 09:50:06 PM, fin, juego1, Crea-Jugador, Team B, Claudio, NULL
06/19/2024 09:50:09 PM, 06/19/2024 09:50:09 PM, fin, juego1, Crea-Jugador, Team A, Pepito, NULL
06/19/2024 09:50:11 PM, 06/19/2024 09:50:11 PM, ini, juego1, Inicio-Partida, Team B, Francisco, NULL
06/19/2024 09:50:11 PM, 06/19/2024 09:50:11 PM, ini, juego1, Inicio-Partida, Team B, Claudio, NULL
06/19/2024 09:50:11 PM, 06/19/2024 09:50:11 PM, ini, juego1, Inicio-Partida, Team A, Pepito, NULL
06/19/2024 09:50:11 PM, 06/19/2024 09:50:11 PM, ini, juego1, Lanzar-Dado, Team A, Pepito, NULL
06/19/2024 09:50:13 PM, 06/19/2024 09:50:13 PM, ini, juego1, Lanzar-Dado, Team B, Claudio, NULL
06/19/2024 09:50:15 PM, 06/19/2024 09:50:15 PM, ini, juego1, Lanzar-Dado, Team A, Pepito, NULL
06/19/2024 09:50:17 PM, 06/19/2024 09:50:17 PM, ini, juego1, Lanzar-Dado, Team B, Francisco, NULL
06/19/2024 09:50:19 PM, 06/19/2024 09:50:19 PM, ini, juego1, Lanzar-Dado, Team A, Pepito, NULL
06/19/2024 09:54:28 PM, 06/19/2024 09:54:28 PM, ini, juego1, Inicio-Juego, Team B, Francisco, NULL
06/19/2024 09:54:28 PM, 06/19/2024 09:54:28 PM, ini, juego1, Crea-Jugador, Team B, Francisco, NULL
06/19/2024 09:54:31 PM, 06/19/2024 09:54:31 PM, ini, juego1, Inicio-Juego, Team B, Claudio, NULL
06/19/2024 09:54:31 PM, 06/19/2024 09:54:31 PM, ini, juego1, Crea-Jugador, Team B, Claudio, NULL
06/19/2024 09:54:32 PM, 06/19/2024 09:54:32 PM, fin, juego1, Crea-Jugador, Team B, Francisco, NULL
06/19/2024 09:54:35 PM, 06/19/2024 09:54:35 PM, ini, juego1, Inicio-Juego, Team A, Pepito, NULL
06/19/2024 09:54:35 PM, 06/19/2024 09:54:35 PM, ini, juego1, Crea-Jugador, Team A, Pepito, NULL
06/19/2024 09:54:36 PM, 06/19/2024 09:54:36 PM, fin, juego1, Crea-Jugador, Team B, Claudio, NULL
06/19/2024 09:54:39 PM, 06/19/2024 09:54:39 PM, fin, juego1, Crea-Jugador, Team A, Pepito, NULL
